"","ARHGAP5","BCOR","BMPR2","CACNA1D","CASP8","CIC","CIITA","CTNNB1","ERBB4","FAT4","FBN2","FGFR1","JAK1","MTOR","MYH11","NBEA","PIK3CA","PTPRB","PTPRK","RPL22","STAT6","TCF7L2"
"TCGA-AA-3663-01A-01D-1719-10",0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1
"TCGA-AA-A00N-01A-02W-A00E-09",0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0
"TCGA-AZ-4315-01A-01D-1408-10",0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1
"TCGA-CA-6717-01A-11D-1835-10",1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
"TCGA-CM-6162-01A-11D-1650-10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"TCGA-CM-6677-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-3809-01A-01W-0995-10",0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"TCGA-A6-5660-01A-01D-1650-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-A6-6781-01A-22D-1924-10",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"TCGA-AA-3977-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1
"TCGA-AA-3984-01A-02W-0995-10",0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1
"TCGA-CM-5860-01A-01D-1650-10",1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
"TCGA-CM-6674-01A-11D-1835-10",0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"TCGA-CM-6676-01A-11D-1835-10",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-G4-6307-01A-11D-1719-10",0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
"TCGA-A6-2672-01A-01W-0833-10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-2676-01A-01W-0833-10",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3530-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3556-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3695-01A-01W-0900-09",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"TCGA-AA-3850-01A-01W-0995-10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"TCGA-AA-3864-01A-01W-0995-10",0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0
"TCGA-AA-3877-01A-01W-0995-10",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"TCGA-AA-A022-01A-21W-A096-10",0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"TCGA-AD-6889-01A-11D-1924-10",1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AD-6899-01A-11D-1924-10",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-AZ-6601-01A-11D-1771-10",0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1
"TCGA-CA-6718-01A-11D-1835-10",1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
"TCGA-F4-6808-01A-11D-1835-10",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-G4-6586-01A-11D-1771-10",0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0
